'Communes';'Codes_Insee';'NB_Allocataires';'ALL_PAJE';'ALL_PRIM';'ALL_BASEP';'ALL_CMG';'ALL_CMG_ASMA';'ALL_CMG_DOM';'ALL_CMG_A';'ALL_Clca_Colca'
GIRIVILLER;54228;10;;;;;;;;
GLONVILLE;54229;38;16;;11;;;;;
GOGNEY;54230;;;;;;;;;
GONDRECOURT-AIX;54231;23;8;;;;;;;
GONDREVILLE;54232;358;110;;69;72;67;;;30
GONDREXON;54233;;;;;;;;;
GORCY;54234;236;41;;32;14;;;;5
GOVILLER;54235;55;17;;;8;;;;8
GRAND-FAILLY;54236;27;7;;;;;;;
GRIMONVILLER;54237;12;;;;;;;;
GRIPPORT;54238;28;10;;;;;;;
GRISCOURT;54239;13;6;;;;;;;
GROSROUVRES;54240;;;;;;;;;
GUGNEY;54241;10;;;;;;;;
GYE;54242;25;12;;;6;;;;
HABLAINVILLE;54243;31;7;;;;;;;
HAGEVILLE;54244;10;;;;;;;;
HAIGNEVILLE;54245;8;;;;;;;;
HALLOVILLE;54246;6;;;;;;;;
HAMMEVILLE;54247;16;;;;;;;;
HAMONVILLE;54248;12;;;;;;;;
HANNONVILLE-SUZEMONT;54249;38;11;;;;;;;
HARAUCOURT;54250;79;25;;17;17;;;;9
HARBOUEY;54251;10;;;;;;;;
HAROUE;54252;110;17;;11;12;;;;
HATRIZE;54253;92;29;;20;17;;;;6
HAUCOURT-MOULAINE;54254;405;57;;49;24;;;;9
HAUDONVILLE;54255;11;;;;;;;;
HAUSSONVILLE;54256;34;9;;;;;;;
HEILLECOURT;54257;795;150;;98;87;80;;;35
HENAMENIL;54258;21;7;;;;;;;
HERBEVILLER;54259;29;12;;;7;;;;
HERIMENIL;54260;120;29;;22;18;;;;6
HERSERANGE;54261;760;102;5;88;21;;;;16
HOEVILLE;54262;24;8;;;;;;;
HOMECOURT;54263;1123;228;8;201;46;;;;34
HOUDELMONT;54264;36;9;;;;;;;
HOUDEMONT;54265;249;57;;35;37;29;;6;13
HOUDREVILLE;54266;55;17;;10;;;;;
HOUSSEVILLE;54268;16;;;;;;;;
HUDIVILLER;54269;38;12;;;7;;;;
HUSSIGNY-GODBRANGE;54270;263;49;;42;17;;;;5
IGNEY;54271;14;;;;;;;;
JAILLON;54272;70;33;;23;28;;;;6
JARNY;54273;1503;289;;230;112;;;;52
JARVILLE-LA-MALGRANGE;54274;2292;350;6;309;83;75;;5;50
JAULNY;54275;24;5;;;;;;;
JEANDELAINCOURT;54276;118;32;;21;19;;;;7
JEANDELIZE;54277;44;11;;6;;;;;
JEVONCOURT;54278;13;;;;;;;;
JEZAINVILLE;54279;110;42;;33;25;;;;12
JOEUF;54280;1319;218;6;194;44;;;;36
JOLIVET;54281;101;34;;24;26;;;;9
JOPPECOURT;54282;20;;;;;;;;
JOUAVILLE;54283;36;8;;;;;;;
JOUDREVILLE;54284;179;34;;28;7;;;;
JUVRECOURT;54285;7;;;;;;;;
LABRY;54286;225;61;;43;32;;;;15
LACHAPELLE;54287;28;10;;;;;;;
LAGNEY;54288;57;28;;20;16;;;;9
LAITRE-SOUS-AMANCE;54289;39;12;;;;;;;
LAIX;54290;21;6;;;;;;;
LALOEUF;54291;28;6;;;;;;;
LAMATH;54292;27;8;;;;;;;
LANDECOURT;54293;10;;;;;;;;
LANDREMONT;54294;12;;;;;;;;
LANDRES;54295;112;30;;24;10;;;;8
LANEUVELOTTE;54296;59;22;;13;17;;;;7
LANEUVEVILLE-AUX-BOIS;54297;46;18;;;8;;;;
LANEUVEVILLE-DERRIERE-FOUG;54298;20;5;;;;;;;
LANEUVEVILLE-DEVANT-BAYON;54299;40;7;;;;;;;
LANEUVEVILLE-DEVANT-NANCY;54300;1095;255;;202;91;81;;6;66
LANFROICOURT;54301;13;;;;;;;;
LANTEFONTAINE;54302;72;22;;;9;;;;7
LARONXE;54303;41;11;;;;;;;
LAXOU;54304;3364;503;15;421;121;82;;28;89
LAY-SAINT-CHRISTOPHE;54305;305;65;;34;46;37;7;;15
LAY-SAINT-REMY;54306;48;14;;;6;;;;5
LEBEUVILLE;54307;22;8;;;;;;;
LEINTREY;54308;16;;;;;;;;
LEMAINVILLE;54309;44;15;;;8;;;;7
LEMENIL-MITRY;54310;;;;;;;;;
LENONCOURT;54311;80;23;;13;14;;;;
LESMENILS;54312;55;21;;12;14;;;;6
LETRICOURT;54313;31;5;;;;;;;
LEXY;54314;320;57;;38;29;;;;10
LEYR;54315;126;39;;28;22;;;;13
LIMEY-REMENAUVILLE;54316;33;15;;10;10;;;;
LIRONVILLE;54317;19;8;;;;;;;
LIVERDUN;54318;909;216;;169;108;102;;5;52
LOISY;54320;38;18;;8;13;;;;
LONGLAVILLE;54321;289;31;;26;8;;;;
LONGUYON;54322;887;122;5;102;35;;;;18
LONGWY;54323;3132;359;14;328;38;;;;43
LOREY;54324;15;;;;;;;;
LOROMONTZEY;54325;13;;;;;;;;
LUBEY;54326;24;;;;;;;;
LUCEY;54327;82;28;;19;20;;;;7
LUDRES;54328;828;161;;98;87;80;;6;37
LUNEVILLE;54329;4367;655;18;570;184;175;6;;92
LUPCOURT;54330;56;17;;10;9;;;;5
MAGNIERES;54331;48;15;;;5;;;;6
MAIDIERES;54332;172;41;;30;16;;;;12
MAILLY-SUR-SEILLE;54333;34;7;;;;;;;
MAIRY-MAINVILLE;54334;56;15;;;9;;;;
MAIXE;54335;47;17;;;;;;;
MAIZIERES;54336;124;30;;23;13;;;;9
MALAVILLERS;54337;13;;;;;;;;
MALLELOY;54338;129;42;;32;25;;;;9
MALZEVILLE;54339;1480;257;6;197;101;89;;8;55
MAMEY;54340;46;18;;10;;;;;
MANCE;54341;44;15;;;7;;;;
MANCIEULLES;54342;255;59;;43;26;;;;5
MANDRES-AUX-QUATRE-TOURS;54343;19;;;;;;;;
MANGONVILLE;54344;31;7;;;;;;;
MANONCOURT-EN-VERMOIS;54345;56;12;;;6;;;;
MANONCOURT-EN-WOEVRE;54346;33;12;;;;;;;
MANONVILLE;54348;30;9;;;;;;;
MANONVILLER;54349;19;8;;;;;;;
MARAINVILLER;54350;85;26;;;12;;;;11
MARBACHE;54351;236;66;;56;27;;;;18
MARON;54352;104;33;;27;18;;;;10
MARS-LA-TOUR;54353;131;36;;28;21;;;;15
MARTHEMONT;54354;6;;;;;;;;
MARTINCOURT;54355;5;;;;;;;;
MATTEXEY;54356;11;;;;;;;;
MAXEVILLE;54357;2497;437;13;376;120;113;;5;82
MAZERULLES;54358;35;13;;8;8;;;;
MEHONCOURT;54359;29;8;;;;;;;
MENIL-LA-TOUR;54360;41;15;;9;;;;;
MERCY-LE-BAS;54362;132;31;;25;8;;;;6
MERCY-LE-HAUT;54363;26;10;;;;;;;
MEREVILLE;54364;156;37;;24;21;;;;12
MERVILLER;54365;45;6;;;;;;;
MESSEIN;54366;250;61;;42;33;;;;15
MEXY;54367;159;31;;24;10;;;;5
MIGNEVILLE;54368;26;5;;;;;;;
MILLERY;54369;71;20;;12;8;;;;5
MINORVILLE;54370;30;6;;;;;;;
MOINEVILLE;54371;135;41;;24;23;;;;9
MOIVRONS;54372;76;23;;14;15;;;;6
MONCEL-LES-LUNEVILLE;54373;85;24;;19;11;;;;9
MONCEL-SUR-SEILLE;54374;89;34;;24;17;;;;5
MONTAUVILLE;54375;134;36;;21;26;;;;9
MONTENOY;54376;43;15;;7;;;;;6
MONTIGNY;54377;18;;;;;;;;
MONTIGNY-SUR-CHIERS;54378;33;9;;;;;;;
MONT-L'ETROIT;54379;11;;;;;;;;
MONT-LE-VIGNOBLE;54380;44;18;;12;;;;;
MONTREUX;54381;;;;;;;;;
MONT-SAINT-MARTIN;54382;1508;182;7;171;18;;;;29
MONT-SUR-MEURTHE;54383;140;38;;29;14;;;;8
MORFONTAINE;54385;110;17;;;;;;;
MORIVILLER;54386;12;;;;;;;;
MORVILLE-SUR-SEILLE;54387;21;6;;;;;;;
MOUACOURT;54388;9;;;;;;;;
MOUAVILLE;54389;11;;;;;;;;
MOUSSON;54390;7;;;;;;;;
MOUTIERS;54391;233;52;;40;18;;;;8
MOUTROT;54392;44;10;;;5;;;;
MOYEN;54393;82;14;;;6;;;;5
MURVILLE;54394;23;8;;;;;;;
NANCY;54395;35482;2916;74;2381;751;500;56;202;459
NEUFMAISONS;54396;20;;;;;;;;
NEUVES-MAISONS;54397;1260;253;5;204;95;;;;54
NEUVILLER-LES-BADONVILLER;54398;12;;;;;;;;
NEUVILLER-SUR-MOSELLE;54399;34;10;;;;;;;
NOMENY;54400;183;47;;33;28;;;;11
NONHIGNY;54401;19;6;;;;;;;
NORROY-LE-SEC;54402;55;15;;8;8;;;;
NORROY-LES-PONT-A-MOUSSON;54403;150;38;;24;26;;;;6
NOVIANT-AUX-PRES;54404;45;15;;;8;;;;5
OCHEY;54405;99;40;;30;27;;;;9
OGEVILLER;54406;41;13;;;6;;;;5
OGNEVILLE;54407;12;6;;;;;;;
OLLEY;54408;35;6;;;;;;;
OMELMONT;54409;33;8;;;;;;;
ONVILLE;54410;95;16;;;8;;;;5
ORMES-ET-VILLE;54411;22;;;;;;;;
OTHE;54412;;;;;;;;;
OZERAILLES;54413;20;8;;;;;;;
PAGNEY-DERRIERE-BARINE;54414;78;27;;20;17;;;;6
PAGNY-SUR-MOSELLE;54415;577;157;;113;93;;;;44
PANNES;54416;24;6;;;;;;;
PAREY-SAINT-CESAIRE;54417;27;12;;;7;;;;
PARROY;54418;14;;;;;;;;
PARUX;54419;12;;;;;;;;
PETIT-FAILLY;54420;7;;;;;;;;
PETITMONT;54421;40;6;;;;;;;
PETTONVILLE;54422;6;;;;;;;;
PEXONNE;54423;58;17;;;6;;;;
PHLIN;54424;;;;;;;;;
PIENNES;54425;402;72;;65;13;;;;10
PIERRE-LA-TREICHE;54426;55;15;;;9;;;;7
PIERRE-PERCEE;54427;10;;;;;;;;
PIERREPONT;54428;100;25;;;6;;;;7
PIERREVILLE;54429;38;11;;;;;;;
POMPEY;54430;851;163;;138;65;;;;36
PONT-A-MOUSSON;54431;2736;562;11;471;186;177;7;;111
PONT-SAINT-VINCENT;54432;293;61;;48;30;;;;15
PORT-SUR-SEILLE;54433;26;11;;;;;;;
PRAYE;54434;38;7;;;;;;;
PRENY;54435;38;12;;;;;;;
PREUTIN-HIGNY;54436;12;;;;;;;;
PULLIGNY;54437;145;37;;31;19;;;;9
PULNEY;54438;8;;;;;;;;
PULNOY;54439;598;120;5;80;50;;;;30
PUXE;54440;14;;;;;;;;
PUXIEUX;54441;28;7;;;;;;;
QUEVILLONCOURT;54442;16;5;;;;;;;
RAON-LES-LEAU;54443;7;;;;;;;;
RAUCOURT;54444;28;14;;;8;;;;
RAVILLE-SUR-SANON;54445;16;;;;;;;;
RECHICOURT-LA-PETITE;54446;;;;;;;;;
RECLONVILLE;54447;8;;;;;;;;
REHAINVILLER;54449;140;54;;31;43;;;;16
REHERREY;54450;13;;;;;;;;
REHON;54451;447;87;;73;28;;;;22
REILLON;54452;8;;;;;;;;
REMBERCOURT-SUR-MAD;54453;15;5;;;;;;;
REMENOVILLE;54455;20;7;;;;;;;
REMEREVILLE;54456;72;21;;12;15;;;;6
REMONCOURT;54457;5;;;;;;;;
REPAIX;54458;6;;;;;;;;
RICHARDMENIL;54459;227;66;;41;39;;;;12
ROGEVILLE;54460;20;8;;;;;;;
ROMAIN;54461;8;;;;;;;;
ROSIERES-AUX-SALINES;54462;588;98;;68;46;;;;31
ROSIERES-EN-HAYE;54463;33;8;;;;;;;
ROUVES;54464;12;;;;;;;;
ROVILLE-DEVANT-BAYON;54465;130;33;;20;23;;;;8
ROYAUMEIX;54466;60;9;;;;;;;
ROZELIEURES;54467;23;5;;;;;;;
SAFFAIS;54468;13;;;;;;;;
SAINT-AIL;54469;54;18;;10;13;;;;6
SAINT-BAUSSANT;54470;14;5;;;;;;;
SAINT-BOINGT;54471;8;;;;;;;;
SAINT-CLEMENT;54472;114;24;;;13;;;;6
SAINT-FIRMIN;54473;54;9;;;;;;;
SAINTE-GENEVIEVE;54474;17;7;;;;;;;
SAINT-GERMAIN;54475;23;7;;;;;;;
SAINT-JEAN-LES-LONGUYON;54476;43;16;;;9;;;;
SAINT-JULIEN-LES-GORZE;54477;22;5;;;;;;;
SAINT-MARCEL;54478;19;6;;;;;;;
SAINT-MARD;54479;12;5;;;;;;;
SAINT-MARTIN;54480;7;;;;;;;;
SAINT-MAURICE-AUX-FORGES;54481;8;;;;;;;;
SAINT-MAX;54482;1806;343;9;264;124;105;;14;70
SAINT-NICOLAS-DE-PORT;54483;1445;294;6;232;116;110;;;61
SAINTE-POLE;54484;26;6;;;;;;;
SAINT-PANCRE;54485;22;;;;;;;;
SAINT-REMIMONT;54486;41;9;;;;;;;
SAINT-REMY-AUX-BOIS;54487;6;;;;;;;;
SAINT-SAUVEUR;54488;;;;;;;;;
SAINT-SUPPLET;54489;18;;;;;;;;
SAIZERAIS;54490;207;66;;40;43;;;;18
SANCY;54491;32;6;;;;;;;
SANZEY;54492;18;8;;;;;;;
SAULNES;54493;231;42;;31;16;;;;5
SAULXEROTTE;54494;13;5;;;;;;;
SAULXURES-LES-NANCY;54495;517;108;;80;49;;;;26
SAULXURES-LES-VANNES;54496;60;20;;;11;;;;
SAXON-SION;54497;6;;;;;;;;
SEICHAMPS;54498;633;143;5;103;57;;;;47
SEICHEPREY;54499;13;;;;;;;;
SELAINCOURT;54500;21;9;;;;;;;
SERANVILLE;54501;19;;;;;;;;
SERRES;54502;34;14;;;;;;;
SERROUVILLE;54504;57;12;;;5;;;;
SEXEY-AUX-FORGES;54505;80;29;;22;17;;;;5
SEXEY-LES-BOIS;54506;37;11;;;;;;;
SIONVILLER;54507;12;;;;;;;;
SIVRY;54508;35;13;;7;;;;;6
SOMMERVILLER;54509;106;37;;23;26;;;;8
SORNEVILLE;54510;47;18;;11;11;;;;
SPONVILLE;54511;10;;;;;;;;
TANCONVILLE;54512;11;;;;;;;;
TANTONVILLE;54513;106;35;;30;18;;;;11
TELLANCOURT;54514;54;13;;;;;;;
THELOD;54515;26;9;;;;;;;
THEY-SOUS-VAUDEMONT;54516;;;;;;;;;
THEZEY-SAINT-MARTIN;54517;21;6;;;;;;;
THIAUCOURT-REGNIEVILLE;54518;240;35;;27;20;;;;12
THIAVILLE-SUR-MEURTHE;54519;67;28;;21;15;;;;
THIEBAUMENIL;54520;43;20;;13;;;;;
THIL;54521;175;23;;;;;;;
THOREY-LYAUTEY;54522;15;;;;;;;;
THUILLEY-AUX-GROSEILLES;54523;31;13;;;5;;;;
THUMEREVILLE;54524;;;;;;;;;
TIERCELET;54525;29;;;;;;;;
TOMBLAINE;54526;1497;336;8;280;118;112;;6;94
TONNOY;54527;84;24;;11;19;;;;6
TOUL;54528;3493;678;17;572;189;173;9;;109
TRAMONT-EMY;54529;;;;;;;;;
TRAMONT-LASSUS;54530;12;;;;;;;;
TRAMONT-SAINT-ANDRE;54531;10;;;;;;;;
TREMBLECOURT;54532;21;5;;;;;;;
TRIEUX;54533;327;89;;76;38;;;;25
TRONDES;54534;88;26;;18;15;;;;5
TRONVILLE;54535;19;7;;;;;;;
TUCQUEGNIEUX;54536;303;53;;39;29;;;;7
UGNY;54537;50;17;;11;8;;;;5
URUFFE;54538;57;20;;15;9;;;;6
VACQUEVILLE;54539;29;5;;;;;;;
VAL-ET-CHATILLON;54540;109;18;;;5;;;;
VALHEY;54541;25;10;;;;;;;
VALLEROY;54542;327;79;;54;38;;;;16
VALLOIS;54543;19;7;;;;;;;
VANDELAINVILLE;54544;16;;;;;;;;
VANDELEVILLE;54545;33;8;;;;;;;
VANDIERES;54546;116;41;;35;16;;;;6
VANDOEUVRE-LES-NANCY;54547;9229;1073;22;954;213;188;;23;188
VANNES-LE-CHATEL;54548;95;19;;14;13;;;;
VARANGEVILLE;54549;631;146;;118;68;;;;22
VATHIMENIL;54550;45;13;;8;7;;;;
VAUCOURT;54551;7;;;;;;;;
VAUDEMONT;54552;8;;;;;;;;
VAUDEVILLE;54553;26;;;;;;;;
VAUDIGNY;54554;11;5;;;;;;;
VAXAINVILLE;54555;12;;;;;;;;
VEHO;54556;13;;;;;;;;
VELAINE-EN-HAYE;54557;236;65;;46;37;;;;20
VELAINE-SOUS-AMANCE;54558;31;10;;;;;;;
VELLE-SUR-MOSELLE;54559;33;10;;;5;;;;
VENEY;54560;6;;;;;;;;
VENNEZEY;54561;;;;;;;;;
VERDENAL;54562;18;6;;;;;;;
VEZELISE;54563;358;53;;44;19;;;;10
VIEVILLE-EN-HAYE;54564;19;6;;;;;;;
VIGNEULLES;54565;30;5;;;;;;;
VILCEY-SUR-TREY;54566;12;;;;;;;;
VILLACOURT;54567;47;16;;11;;;;;
VILLE-AU-MONTOIS;54568;20;;;;;;;;
VILLE-AU-VAL;54569;29;7;;;;;;;
VILLECEY-SUR-MAD;54570;39;14;;;8;;;;5
VILLE-EN-VERMOIS;54571;61;18;;13;;;;;8
VILLE-HOUDLEMONT;54572;47;14;;8;9;;;;
VILLERS-EN-HAYE;54573;21;11;;;;;;;
VILLERS-LA-CHEVRE;54574;37;10;;5;;;;;
VILLERS-LA-MONTAGNE;54575;110;25;;14;13;;;;
VILLERS-LE-ROND;54576;10;;;;;;;;
VILLERS-LES-MOIVRONS;54577;18;6;;;;;;;
VILLERS-LES-NANCY;54578;2570;363;5;282;124;104;;16;83
VILLERS-SOUS-PRENY;54579;46;16;;;9;;;;
VILLERUPT;54580;1210;131;8;115;25;;;;19
VILLE-SUR-YRON;54581;42;13;;;5;;;;
VILLETTE;54582;12;;;;;;;;
VILLEY-LE-SEC;54583;50;15;;;9;;;;6
VILLEY-SAINT-ETIENNE;54584;112;31;;17;22;;;;8
VIRECOURT;54585;60;12;;7;;;;;
VITERNE;54586;94;32;;25;16;;;;7
VITREY;54587;31;7;;;;;;;
VITRIMONT;54588;54;16;;;8;;;;
VITTONVILLE;54589;18;6;;;;;;;
VIVIERS-SUR-CHIERS;54590;54;14;;8;9;;;;
VOINEMONT;54591;43;11;;;;;;;
VRONCOURT;54592;34;14;;7;8;;;;
WAVILLE;54593;67;17;;11;;;;;
XAMMES;54594;22;7;;;;;;;
XERMAMENIL;54595;71;22;;16;15;;;;5
XEUILLEY;54596;93;34;;25;17;;;;11
XIROCOURT;54597;62;18;;;11;;;;7
XIVRY-CIRCOURT;54598;24;;;;;;;;
XONVILLE;54599;14;;;;;;;;
XOUSSE;54600;15;;;;;;;;
XURES;54601;11;;;;;;;;
HAN-DEVANT-PIERREPONT;54602;7;;;;;;;;
ABAINVILLE;55001;39;8;;;;;;;
ABAUCOURT-HAUTECOURT;55002;12;;;;;;;;
AINCREVILLE;55004;7;;;;;;;;
AMANTY;55005;;;;;;;;;
AMBLY-SUR-MEUSE;55007;24;9;;;;;;;
AMEL-SUR-L'ETANG;55008;13;;;;;;;;
ANCEMONT;55009;75;20;;13;13;;;;7
ANCERVILLE;55010;376;92;;71;44;;;;23
ANDERNAY;55011;33;11;;;;;;;
APREMONT-LA-FORET;55012;53;18;;12;13;;;;
ARRANCY-SUR-CRUSNE;55013;49;13;;;;;;;
AUBREVILLE;55014;56;13;;;;;;;
AULNOIS-EN-PERTHOIS;55015;72;24;;19;9;;;;7
AUTRECOURT-SUR-AIRE;55017;10;;;;;;;;
AUTREVILLE-SAINT-LAMBERT;55018;;;;;;;;;
AVILLERS-SAINTE-CROIX;55021;6;;;;;;;;
AVIOTH;55022;8;;;;;;;;
AVOCOURT;55023;13;;;;;;;;
AZANNES-ET-SOUMAZANNES;55024;14;5;;;;;;;
BAALON;55025;26;;;;;;;;
BADONVILLIERS-GERAUVILLIERS;55026;14;;;;;;;;
BANNONCOURT;55027;19;7;;;;;;;
BANTHEVILLE;55028;11;;;;;;;;
BAR-LE-DUC;55029;3797;391;6;331;99;89;6;;74
BAUDIGNECOURT;55030;11;;;;;;;;
BAUDONVILLIERS;55031;36;7;;;;;;;
BAUDREMONT;55032;;;;;;;;;
BAULNY;55033;;;;;;;;;
BAZEILLES-SUR-OTHAIN;55034;11;;;;;;;;
BAZINCOURT-SUR-SAULX;55035;19;8;;;;;;;
BEAUCLAIR;55036;10;5;;;;;;;
BEAUFORT-EN-ARGONNE;55037;12;;;;;;;;
BEAULIEU-EN-ARGONNE;55038;5;;;;;;;;
BEAUSITE;55040;21;6;;;;;;;
BEHONNE;55041;51;13;;;5;;;;5
BELLERAY;55042;52;16;;;8;;;;6
BELLEVILLE-SUR-MEUSE;55043;557;114;;98;45;;;;15
BELRAIN;55044;8;;;;;;;;
BELRUPT-EN-VERDUNOIS;55045;71;22;;;10;;;;
BENEY-EN-WOEVRE;55046;18;5;;;;;;;
BETHELAINVILLE;55047;21;;;;;;;;
BETHINCOURT;55048;5;;;;;;;;
BEUREY-SUR-SAULX;55049;57;11;;;5;;;;
BIENCOURT-SUR-ORGE;55051;11;;;;;;;;
BILLY-SOUS-MANGIENNES;55053;47;10;;;;;;;
BISLEE;55054;9;;;;;;;;
BLANZEE;55055;;;;;;;;;
BOINVILLE-EN-WOEVRE;55057;;;;;;;;;
BONCOURT-SUR-MEUSE;55058;42;11;;;;;;;
BONNET;55059;19;;;;;;;;
BONZEE;55060;41;8;;;;;;;
LE BOUCHON-SUR-SAULX;55061;30;10;;;5;;;;
BOUCONVILLE-SUR-MADT;55062;23;;;;;;;;
BOULIGNY;55063;351;74;;63;23;;;;9
BOUQUEMONT;55064;14;7;;;;;;;
BOUREUILLES;55065;9;;;;;;;;
BOVEE-SUR-BARBOURE;55066;16;6;;;;;;;
BOVIOLLES;55067;11;;;;;;;;
BRABANT-EN-ARGONNE;55068;12;;;;;;;;
BRABANT-LE-ROI;55069;24;9;;;;;;;
BRABANT-SUR-MEUSE;55070;21;8;;;;;;;
BRANDEVILLE;55071;25;;;;;;;;
BRAQUIS;55072;10;;;;;;;;
BRAS-SUR-MEUSE;55073;79;20;;;12;;;;6
BRAUVILLIERS;55075;21;10;;;;;;;
BREHEVILLE;55076;26;;;;;;;;
BREUX;55077;18;;;;;;;;
BRIEULLES-SUR-MEUSE;55078;39;12;;;7;;;;
BRILLON-EN-BARROIS;55079;82;32;;24;21;;;;16
BRIXEY-AUX-CHANOINES;55080;8;;;;;;;;
BRIZEAUX;55081;;;;;;;;;
BROCOURT-EN-ARGONNE;55082;;;;;;;;;
BROUENNES;55083;11;;;;;;;;
BROUSSEY-EN-BLOIS;55084;5;;;;;;;;
BROUSSEY-RAULECOURT;55085;31;6;;;;;;;
BURE;55087;12;;;;;;;;
BUREY-EN-VAUX;55088;17;6;;;;;;;
BUREY-LA-COTE;55089;8;;;;;;;;
BUXIERES-SOUS-LES-COTES;55093;23;;;;;;;;
BUZY-DARMONT;55094;74;20;;;;;;;
CESSE;55095;11;;;;;;;;
CHAILLON;55096;9;;;;;;;;
CHALAINES;55097;45;10;;;;;;;
CHAMPNEUVILLE;55099;13;5;;;;;;;
CHAMPOUGNY;55100;9;;;;;;;;
CHARDOGNE;55101;34;11;;;;;;;
CHARNY-SUR-MEUSE;55102;60;12;;7;7;;;;
CHARPENTRY;55103;;;;;;;;;
CHASSEY-BEAUPRE;55104;13;;;;;;;;
CHATILLON-SOUS-LES-COTES;55105;22;9;;;;;;;
CHATTANCOURT;55106;25;9;;;;;;;
CHAUMONT-DEVANT-DAMVILLERS;55107;5;;;;;;;;
CHAUMONT-SUR-AIRE;55108;9;;;;;;;;
CHAUVENCY-LE-CHATEAU;55109;31;11;;;;;;;
CHAUVENCY-SAINT-HUBERT;55110;26;6;;;;;;;
CHAUVONCOURT;55111;45;8;;;;;;;
CHEPPY;55113;11;;;;;;;;
CHONVILLE-MALAUMONT;55114;27;12;;;7;;;;
CIERGES-SOUS-MONTFAUCON;55115;5;;;;;;;;
LE CLAON;55116;8;;;;;;;;
CLERMONT-EN-ARGONNE;55117;228;26;;18;12;;;;
CLERY-LE-GRAND;55118;12;5;;;;;;;
CLERY-LE-PETIT;55119;29;6;;;;;;;
COMBLES-EN-BARROIS;55120;83;22;;13;16;;;;6
COMBRES-SOUS-LES-COTES;55121;15;6;;;;;;;
COMMERCY;55122;1376;172;;153;45;;;;21
LES HAUTS-DE-CHEE;55123;86;28;;23;15;;;;10
CONSENVOYE;55124;35;12;;;;;;;
CONTRISSON;55125;120;40;;26;26;;;;9
COURCELLES-EN-BARROIS;55127;5;;;;;;;;
COURCELLES-SUR-AIRE;55128;;;;;;;;;
COUROUVRE;55129;7;;;;;;;;
COUSANCES-LES-FORGES;55132;255;62;;44;35;;;;15
COUVERTPUIS;55133;9;;;;;;;;
COUVONGES;55134;19;6;;;;;;;
CUISY;55137;;;;;;;;;
CULEY;55138;;;;;;;;;
CUNEL;55140;;;;;;;;;
DAGONVILLE;55141;10;;;;;;;;
DAINVILLE-BERTHELEVILLE;55142;12;;;;;;;;
DAMLOUP;55143;16;;;;;;;;
DAMMARIE-SUR-SAULX;55144;64;11;;5;;;;;
DAMVILLERS;55145;107;21;;;7;;;;
DANNEVOUX;55146;25;7;;;;;;;
DELOUZE-ROSIERES;55148;16;;;;;;;;
DELUT;55149;16;6;;;;;;;
DEMANGE-AUX-EAUX;55150;58;9;;;;;;;
DIEPPE-SOUS-DOUAUMONT;55153;22;8;;;;;;;
DIEUE-SUR-MEUSE;55154;200;45;;37;16;;;;9
DOMBASLE-EN-ARGONNE;55155;55;17;;10;10;;;;5
DOMBRAS;55156;18;6;;;;;;;
DOMMARTIN-LA-MONTAGNE;55157;5;;;;;;;;
DOMMARY-BARONCOURT;55158;99;10;;;;;;;
DOMPCEVRIN;55159;31;8;;;;;;;
DOMPIERRE-AUX-BOIS;55160;;;;;;;;;
DOMREMY-LA-CANNE;55162;;;;;;;;;
DONCOURT-AUX-TEMPLIERS;55163;12;;;;;;;;
DOUAUMONT;55164;;;;;;;;;
DOULCON;55165;54;14;;7;8;;;;
DUGNY-SUR-MEUSE;55166;175;48;;41;20;;;;7
DUN-SUR-MEUSE;55167;113;16;;;8;;;;
DUZEY;55168;7;;;;;;;;
ECOUVIEZ;55169;25;;;;;;;;
ECUREY-EN-VERDUNOIS;55170;10;;;;;;;;
EIX;55171;33;6;;;;;;;
LES EPARGES;55172;11;;;;;;;;
EPIEZ-SUR-MEUSE;55173;;;;;;;;;
EPINONVILLE;55174;7;;;;;;;;
ERIZE-LA-BRULEE;55175;22;8;;;;;;;
ERIZE-LA-PETITE;55177;8;;;;;;;;
ERIZE-SAINT-DIZIER;55178;28;7;;;;;;;
ERNEVILLE-AUX-BOIS;55179;20;7;;;;;;;
ESNES-EN-ARGONNE;55180;18;5;;;;;;;
ETAIN;55181;666;165;;139;65;;;;25
ETON;55182;26;6;;;;;;;
ETRAYE;55183;;;;;;;;;
EUVILLE;55184;224;63;;54;33;;;;11
EVRES;55185;13;;;;;;;;
FAINS-VEEL;55186;270;57;;41;36;;;;8
FLASSIGNY;55188;;;;;;;;;
FOAMEIX-ORNEL;55191;28;10;;5;;;;;
FONTAINES-SAINT-CLAIR;55192;7;;;;;;;;
FORGES-SUR-MEUSE;55193;9;;;;;;;;
FOUCAUCOURT-SUR-THABAS;55194;5;;;;;;;;
FOUCHERES-AUX-BOIS;55195;16;;;;;;;;
FREMEREVILLE-SOUS-LES-COTES;55196;16;6;;;;;;;
FRESNES-AU-MONT;55197;19;8;;;;;;;
FRESNES-EN-WOEVRE;55198;114;18;;;8;;;;6
FROIDOS;55199;12;;;;;;;;
FROMEREVILLE-LES-VALLONS;55200;28;9;;;;;;;
FROMEZEY;55201;;;;;;;;;
FUTEAU;55202;22;;;;;;;;
GENICOURT-SUR-MEUSE;55204;45;16;;;5;;;;
GERCOURT-ET-DRILLANCOURT;55206;12;;;;;;;;
GERY;55207;8;;;;;;;;
